gene,fbgn,gene_transcript_start,fc3.count,fc4.count,fc5.count,fc6.count,p,q,logConc,logFC
Stim,FBgn0045073,Stim-PA-59,0,0,17,16,1.04533398260049e-09,1.05530486058837e-07,-33.8781309739558,32.2758465397161
CG14411,FBgn0030582,CG14411-PA-760,0,0,18,15,1.04533398260049e-09,1.05530486058837e-07,-33.8781455201812,32.2758174472653
flw,FBgn0000711,flw-PA-936,26,38,94,88,1.11239173531403e-09,1.11917599836757e-07,-15.904605118098,1.25554369293361
CG4278,FBgn0014092,CG4278-PA-727,159,144,103,98,1.11234386213625e-09,1.11917599836757e-07,-14.7111658896019,-0.844782804359101
mus308,FBgn0002905,mus308-PA-6073,302,322,241,250,1.12544782084533e-09,1.13038601026333e-07,-13.5458467128615,-0.597889955342718
Moe,FBgn0011661,Moe-PA-1431,49,46,128,110,1.17162568388753e-09,1.17277745150898e-07,-15.4261248607473,1.07234416931874
Gem2,FBgn0036850,Gem2-PA-117,1306,1450,1298,1243,1.17024064427303e-09,1.17277745150898e-07,-11.2889220291247,-0.369027446363812
CG2982,FBgn0029704,CG2982-PB-1927,341,338,202,240,1.23035945942346e-09,1.22948509229494e-07,-13.559674771067,-0.870440136150221
mthl5,FBgn0037960,mthl5-PA-1390,452,487,410,377,1.23885597295663e-09,1.23588439275122e-07,-12.910978232745,-0.507156340392146
cdc2,FBgn0004106,cdc2-PA-297,1383,1520,1417,1270,1.2426791247335e-09,1.23760782037961e-07,-11.211379532356,-0.364034244212895
sec23,FBgn0262125,sec23-PA-2280,482,502,421,409,1.26648245073284e-09,1.2591905820771e-07,-12.8386415415845,-0.497871664446372
CG17896,FBgn0023537,CG17896-PA-1371,99,146,60,54,1.27790999590668e-09,1.2684169502228e-07,-15.2753008798388,-1.35355091101001
YT521-B,FBgn0027616,YT521-B-PA-1701,11,12,53,46,1.31294329502775e-09,1.30100344157296e-07,-17.0819896504609,1.85335821212989
lin-52,FBgn0029800,lin-52-PA-240,29,20,1,6,1.34591503681858e-09,1.33144137762867e-07,-18.4467603374591,-3.06006308624496
CG40439,FBgn0058439,CG40439-PA-426,581,557,473,504,1.35826203000847e-09,1.33987050123949e-07,-12.6156819730109,-0.472387501661787
CG8801,FBgn0028473,CG8801-PA-1422,19,15,63,61,1.35897326398194e-09,1.33987050123949e-07,-16.6375423239137,1.61429807086104
Cct1,FBgn0041342,Cct1-PA-954,25,20,81,65,1.38358397659569e-09,1.36186170816314e-07,-16.3176177215927,1.44533180352217
feo,FBgn0030241,feo-PA-774,88,95,50,51,1.46587338136716e-09,1.44045840527091e-07,-15.5714547939772,-1.10977528540276
Aven,FBgn0030410,Aven-PA-750,45,37,16,12,1.47650200959526e-09,1.44849261931357e-07,-17.0759123104227,-1.80275968350859
Rpn1,FBgn0028695,Rpn1-PA-2517,179,194,139,125,1.54017187297864e-09,1.50844892992325e-07,-14.364799047158,-0.751032369586407
CG12375,FBgn0031987,CG12375-PA-537,104,108,61,65,1.6377215080548e-09,1.60133372223014e-07,-15.3057616066464,-1.00292809017673
Dab,FBgn0000414,Dab-PB-6661,196,223,149,155,1.65316102200181e-09,1.61375840722947e-07,-14.1790775624449,-0.714870236218523
gig,FBgn0005198,gig-PA-1749,15,14,60,52,1.71180394807833e-09,1.66824616444901e-07,-16.8257703164851,1.69689646302015
CG14965,FBgn0035414,CG14965-PA-1425,25,24,2,6,1.73760602949581e-09,1.69060192569957e-07,-18.3510098624486,-2.86705184035319
CG42575,FBgn0260795,CG42575-PA-1860,43,46,15,17,1.75021452525424e-09,1.70006857619186e-07,-16.9205323079759,-1.72805230921852
EndoG,FBgn0033690,EndoG-PA-774,69,65,31,33,1.76854134870644e-09,1.71504950692784e-07,-16.1252945858103,-1.31851017407898
Taf4,FBgn0010280,Taf4-PA-2706,101,101,223,192,1.81151565113569e-09,1.75384412007823e-07,-14.4809301610424,0.786050158021761
ltl,FBgn0052372,ltl-PA-1236,18,11,0,0,1.82489686358823e-09,1.76102547336265e-07,-33.844833900181,-32.3424406872658
vnc,FBgn0263251,vnc-PA-297,17,12,0,0,1.82489686358823e-09,1.76102547336265e-07,-33.8449166247611,-32.3422752381055
RpL10Ab,FBgn0036213,RpL10Ab-PA-519,4044,4089,3870,3959,1.9129863223748e-09,1.84302032996429e-07,-9.6957631642355,-0.306943849651883
Rm62,FBgn0003261,Rm62-PA-945,14,23,64,64,2.06458466766982e-09,1.98583454891277e-07,-16.5537253132438,1.53832926455202
CG2794,FBgn0031265,CG2794-PA-1440,15,13,0,0,2.0752044447483e-09,1.99280364386902e-07,-33.8704422408182,-32.2912240059914
Xe7,FBgn0010772,Xe7-PA-621,26,30,88,77,2.10489510898788e-09,2.01803401536699e-07,-16.0716441158699,1.30653025777657
lack,FBgn0029006,lack-PA-2178,117,134,251,240,2.10898187025653e-09,2.01867506148477e-07,-14.2029324415021,0.715806655150188
Gld2,FBgn0038934,Gld2-PB-3324,132,111,62,69,2.18677995386799e-09,2.08975486271093e-07,-15.1783080460985,-1.14449215751717
